SchoolName,Latitude,Longitude,City,CommunitySchool,EconomicNeedIndex,SchoolIncomeEstimate,PercentELL,PercentAsian,PercentBlack,PercentHispanic,PercentBlackHispanic,PercentWhite,StudentAttendanceRate,PercentofStudentsChronicallyAbsent,RigorousInstruction,CollaborativeTeachers,SupportiveEnvironment,EffectiveSchoolLeadership,StrongFamilyCommunityTies,Trust,AverageELAProficiency,Grade3ELAAllStudentsTested,Grade3ELA4sAllStudents,Grade3ELA4sAmericanIndianorAlaskaNative,Grade3ELA4sBlackorAfricanAmerican,Grade3ELA4sHispanicorLatino,Grade3ELA4sAsianorPacificIslander,Grade3ELA4sWhite,Grade3ELA4sMultiracial,Grade3ELA4sLimitedEnglishProficient,Grade3ELA4sEconomicallyDisadvantaged,Grade3MathAllStudentstested,Grade3Math4sAllStudents,Grade3Math4sAmericanIndianorAlaskaNative,Grade3Math4sBlackorAfricanAmerican,Grade3Math4sHispanicorLatino,Grade3Math4sAsianorPacificIslander,Grade3Math4sWhite,Grade3Math4sMultiracial,Grade3Math4sLimitedEnglishProficient,Grade3Math4sEconomicallyDisadvantaged,Grade4ELAAllStudentsTested,Grade4ELA4sAllStudents,Grade4ELA4sAmericanIndianorAlaskaNative,Grade4ELA4sBlackorAfricanAmerican,Grade4ELA4sHispanicorLatino,Grade4ELA4sAsianorPacificIslander,Grade4ELA4sWhite,Grade4ELA4sMultiracial,Grade4ELA4sLimitedEnglishProficient,Grade4ELA4sEconomicallyDisadvantaged,Grade4MathAllStudentsTested,Grade4Math4sAllStudents,Grade4Math4sAmericanIndianorAlaskaNative,Grade4Math4sBlackorAfricanAmerican,Grade4Math4sHispanicorLatino,Grade4Math4sAsianorPacificIslander,Grade4Math4sWhite,Grade4Math4sMultiracial,Grade4Math4sLimitedEnglishProficient,Grade4Math4sEconomicallyDisadvantaged,Grade5ELAAllStudentsTested,Grade5ELA4sAllStudents,Grade5ELA4sAmericanIndianorAlaskaNative,Grade5ELA4sBlackorAfricanAmerican,Grade5ELA4sHispanicorLatino,Grade5ELA4sAsianorPacificIslander,Grade5ELA4sWhite,Grade5ELA4sMultiracial,Grade5ELA4sLimitedEnglishProficient,Grade5ELA4sEconomicallyDisadvantaged,Grade5MathAllStudentsTested,Grade5Math4sAllStudents,Grade5Math4sAmericanIndianorAlaskaNative,Grade5Math4sBlackorAfricanAmerican,Grade5Math4sHispanicorLatino,Grade5Math4sAsianorPacificIslander,Grade5Math4sWhite,Grade5Math4sMultiracial,Grade5Math4sLimitedEnglishProficient,Grade5Math4sEconomicallyDisadvantaged,Grade6ELAAllStudentsTested,Grade6ELA4sAllStudents,Grade6ELA4sAmericanIndianorAlaskaNative,Grade6ELA4sBlackorAfricanAmerican,Grade6ELA4sHispanicorLatino,Grade6ELA4sAsianorPacificIslander,Grade6ELA4sWhite,Grade6ELA4sMultiracial,Grade6ELA4sLimitedEnglishProficient,Grade6ELA4sEconomicallyDisadvantaged,Grade6MathAllStudentsTested,Grade6Math4sAllStudents,Grade6Math4sAmericanIndianorAlaskaNative,Grade6Math4sBlackorAfricanAmerican,Grade6Math4sHispanicorLatino,Grade6Math4sAsianorPacificIslander,Grade6Math4sWhite,Grade6Math4sMultiracial,Grade6Math4sLimitedEnglishProficient,Grade6Math4sEconomicallyDisadvantaged,Grade7ELAAllStudentsTested,Grade7ELA4sAllStudents,Grade7ELA4sAmericanIndianorAlaskaNative,Grade7ELA4sBlackorAfricanAmerican,Grade7ELA4sHispanicorLatino,Grade7ELA4sAsianorPacificIslander,Grade7ELA4sWhite,Grade7ELA4sMultiracial,Grade7ELA4sLimitedEnglishProficient,Grade7ELA4sEconomicallyDisadvantaged,Grade7MathAllStudentsTested,Grade7Math4sAllStudents,Grade7Math4sAmericanIndianorAlaskaNative,Grade7Math4sBlackorAfricanAmerican,Grade7Math4sHispanicorLatino,Grade7Math4sAsianorPacificIslander,Grade7Math4sWhite,Grade7Math4sMultiracial,Grade7Math4sLimitedEnglishProficient,Grade7Math4sEconomicallyDisadvantaged,Grade8ELAAllStudentsTested,Grade8ELA4sAllStudents,Grade8ELA4sAmericanIndianorAlaskaNative,Grade8ELA4sBlackorAfricanAmerican,Grade8ELA4sHispanicorLatino,Grade8ELA4sAsianorPacificIslander,Grade8ELA4sWhite,Grade8ELA4sMultiracial,Grade8ELA4sLimitedEnglishProficient,Grade8ELA4sEconomicallyDisadvantaged,Grade8MathAllStudentsTested,Grade8Math4sAllStudents,Grade8Math4sAmericanIndianorAlaskaNative,Grade8Math4sBlackorAfricanAmerican,Grade8Math4sHispanicorLatino,Grade8Math4sAsianorPacificIslander,Grade8Math4sWhite,Grade8Math4sMultiracial,Grade8Math4sLimitedEnglishProficient,Grade8Math4sEconomicallyDisadvantaged
P.S. 184M SHUANG WEN,40.711437,-73.985486,NEW YORK,No,0.559,408.099,0.17,0.71,0.04,0.12,0.15,0.09,0.98,0.02,0.9,0.81,0.91,0.67,0.83,0.85,3.24,59,8,0,0,2,6,0,0,0,4,59,40,0,0,3,34,0,0,5,27,60,7,0,0,0,7,0,0,0,6,61,32,0,0,0,30,0,0,6,24,63,20,0,0,0,13,0,0,0,11,65,42,0,0,0,32,0,0,1,26,76,29,0,0,0,26,2,0,0,20,82,43,0,0,0,39,3,0,3,32,72,22,0,0,2,14,3,0,0,15,72,36,0,0,2,29,4,0,0,29,46,23,0,0,0,19,0,0,0,16,48,28,0,0,0,25,0,0,2,21
P.S. 188 THE ISLAND SCHOOL,40.71987,-73.977376,NEW YORK,Yes,0.917,278.8159,0.16,0.02,0.3,0.64,0.93,0.04,0.91,0.37,1,1,0.99,0.99,0.92,0.99,2.17,40,0,0,0,0,0,0,0,0,0,40,1,0,0,1,0,0,0,0,0,37,1,0,0,0,0,0,0,0,1,38,3,0,0,1,0,0,0,0,3,48,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,48,2,0,0,2,0,0,0,0,2,51,14,0,0,13,0,0,0,0,13,54,0,0,0,0,0,0,0,0,0,54,1,0,0,1,0,0,0,0,1,50,0,0,0,0,0,0,0,0,0,50,3,0,0,3,0,0,0,0,3
THE EAST VILLAGE COMMUNITY SCHOOL,40.727726,-73.978382,NEW YORK,No,0.362,637.6,0.01,0.09,0.09,0.21,0.29,0.55,0.95,0.11,0.9,0.93,0.94,0.93,0.97,0.96,2.86,35,2,0,0,0,0,1,0,0,0,35,23,0,0,0,0,16,0,0,3,32,6,0,0,1,0,5,0,0,2,31,7,0,0,1,0,5,0,0,1,18,4,0,0,1,0,0,0,0,0,18,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THE CHILDREN'S WORKSHOP SCHOOL,40.727726,-73.978382,NEW YORK,No,0.451,625.1957,0.07,0.1,0.1,0.39,0.49,0.38,0.93,0.23,0.97,0.97,0.97,0.96,0.93,0.94,2.89,22,3,0,0,1,0,1,0,0,2,22,7,0,0,2,0,2,0,0,3,23,3,0,0,0,0,0,0,0,2,23,5,0,0,0,0,3,0,0,2,31,11,0,0,1,0,8,0,0,3,31,9,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEIGHBORHOOD SCHOOL,40.724404,-73.98636,NEW YORK,No,0.43,575.0448,0.04,0.05,0.13,0.34,0.47,0.45,0.93,0.23,0.99,0.97,0.95,0.96,0.95,0.99,2.55,10,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,17,1,0,0,0,0,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EARTH SCHOOL,40.723747,-73.981602,NEW YORK,No,0.448,567.872,0.06,0.07,0.13,0.35,0.48,0.37,0.94,0.15,0.96,0.99,0.96,0.98,0.96,0.98,3.1,11,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,12,2,0,0,0,0,0,0,0,0,13,3,0,0,0,0,3,0,0,0,20,7,0,0,0,0,4,0,0,1,19,8,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",40.7195,-73.979239,NEW YORK,No,0.257,768.3396,0,0.33,0.09,0.11,0.2,0.42,0.97,0.03,0.81,0.73,0.85,0.55,0.81,0.74,3.83,110,55,0,2,1,22,26,4,0,5,109,91,0,0,5,33,39,0,0,9,114,81,0,3,8,33,32,5,0,8,114,94,0,2,10,36,40,6,0,9,109,76,0,4,0,26,43,0,0,10,109,90,0,4,0,30,51,0,0,8,142,89,0,7,6,30,41,0,0,8,142,127,0,8,8,39,65,0,0,12,112,74,0,3,4,21,42,0,0,8,105,74,0,2,3,21,44,0,0,9,120,65,0,2,0,31,27,0,0,13,0,0,0,0,0,0,0,0,0,0
P.S. 001 ALFRED E. SMITH,40.712561,-73.997474,NEW YORK,No,0.769,328.1779,0.25,0.64,0.12,0.22,0.34,0.01,0.95,0.18,0.89,0.91,0.95,0.86,0.87,0.94,2.59,50,7,0,3,0,4,0,0,0,5,51,26,0,3,0,22,0,0,5,16,61,13,0,1,0,12,0,0,0,10,64,27,0,0,1,26,0,0,3,15,71,6,0,0,0,6,0,0,0,3,70,18,0,0,0,18,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 002 MEYER LONDON,40.712943,-73.991557,NEW YORK,No,0.858,261.1478,0.36,0.85,0.04,0.09,0.13,0.01,0.98,0.06,0.93,0.86,0.94,0.76,0.83,0.89,2.75,125,8,0,0,0,8,0,0,1,0,128,62,0,0,1,60,0,0,9,0,106,13,0,0,1,11,0,0,0,0,109,52,0,0,1,50,0,0,9,0,104,11,0,0,0,11,0,0,0,10,106,29,0,0,0,28,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 003 CHARRETTE SCHOOL,40.732632,-74.005947,NEW YORK,No,0.176,1033.9919,0.04,0.07,0.05,0.12,0.18,0.7,0.95,0.13,0.97,0.93,0.97,0.93,0.96,0.95,3.09,105,9,0,1,1,1,6,0,0,0,105,52,0,2,3,4,42,0,1,5,142,44,0,0,6,0,30,4,0,1,143,61,0,0,3,0,44,7,0,3,61,18,0,0,1,3,13,0,0,3,59,27,0,0,2,6,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 006 LILLIE D. BLAKE,40.777703,-73.960428,NEW YORK,No,0.101,1442.7013,0.02,0.13,0.02,0.07,0.09,0.75,0.96,0.05,0.87,0.9,0.95,0.87,0.92,0.9,3.4,125,45,0,0,0,5,37,0,0,2,126,83,0,0,3,11,65,0,0,4,117,53,0,0,5,9,36,0,0,4,119,70,0,0,4,14,49,0,0,5,109,52,0,0,6,0,40,0,0,2,110,55,0,0,6,0,39,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 011 WILLIAM T. HARRIS,40.744549,-74.000737,NEW YORK,No,0.293,984.5577,0.03,0.14,0.07,0.25,0.32,0.49,0.96,0.1,0.93,0.93,0.98,0.91,0.93,0.95,3.12,179,39,0,0,5,11,21,2,0,3,179,81,0,0,12,22,42,5,0,9,145,60,0,0,5,18,35,0,0,5,149,70,0,0,6,20,41,0,4,9,122,28,0,0,4,0,18,0,0,5,122,43,0,0,8,0,27,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 033 CHELSEA PREP,40.748945,-74.000243,NEW YORK,No,0.43,880.1114,0.04,0.25,0.12,0.3,0.42,0.26,0.96,0.13,0.97,0.9,0.94,0.82,0.92,0.89,3.04,91,20,0,0,2,5,11,2,0,2,92,52,0,1,6,17,24,4,0,9,97,44,0,0,4,15,20,0,0,8,98,52,0,0,5,20,23,0,0,13,94,36,0,0,3,18,13,0,0,8,94,39,0,0,3,20,14,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 040 AUGUSTUS SAINT-GAUDENS,40.735118,-73.981697,NEW YORK,No,0.153,1024.2146,0.03,0.09,0.03,0.13,0.16,0.64,0.96,0.07,0.97,0.94,0.99,0.91,0.96,0.96,3.39,93,26,0,0,4,0,15,3,0,0,95,49,0,0,4,5,35,0,0,3,88,49,0,0,5,5,36,0,0,4,90,48,0,0,4,6,34,0,0,4,93,54,0,0,4,6,38,0,0,2,94,52,0,0,6,4,35,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 041 GREENWICH VILLAGE,40.735526,-73.999113,NEW YORK,No,0.066,1159.0989,0.02,0.09,0.02,0.1,0.11,0.69,0.97,0.02,0.95,0.96,0.98,0.92,0.95,0.98,3.44,110,25,0,0,2,2,16,0,0,0,110,57,0,0,4,11,37,0,0,0,111,65,0,0,5,7,50,3,0,0,111,66,0,0,6,8,47,5,0,0,107,45,0,0,4,5,35,0,0,3,106,50,0,0,5,6,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P.S. 051 ELIAS HOWE,40.761593,-73.99559,NEW YORK,No,0.626,911.4935,0.09,0.24,0.12,0.42,0.55,0.2,0.94,0.15,0.9,0.95,0.97,0.91,0.89,0.97,2.55,45,1,0,0,0,0,0,0,0,0,45,14,0,0,5,6,0,0,0,6,48,9,0,0,5,1,3,0,0,4,50,7,0,0,3,1,3,0,0,2,45,6,0,1,1,2,0,0,0,2,45,11,0,1,3,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
